,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,SymbolID
runoff_per_hr,720.0000000000007,0.0,0.0,0.0,360.00000000000034,1440.0000000000014,1440.0000000000014,4590.000000000002,5040.000000000002,5040.000000000002,5040.000000000002,6390.000000000002,10260.0,29249.999999999996,21419.999999999996,25470.0,40590.00000000001,71639.99999999999,121769.99999999999,121319.99999999999,134550.0,157680.0,195209.99999999997,246780.0,271260.00000000006,287820.00000000006,297270.00000000006,308340.00000000006,301950.00000000006,290970.00000000006,277290.00000000006,261000.0,342090.0,916740.0,1221840.0,1199340.0,1096740.0,950940.0,827640.0,725940.0,914940.0,1753740.0,3069540.0,3276540.0,3094740.0,2623140.0,2194740.0,1883340.0,1629540.0,1421640.0,1268640.0,1121040.0,1007640.0,916740.0,846540.0,793440.0,733140.0,690840.0,652140.0,622440.0,583740.0,548640.0,534240.0,501840.0,472140.0,449640.0,428040.0,410040.0,395640.0,377640.0,357840.0,341640.0,83610.0,0
Cummulative_Time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,0
